"","variable","value","negative","positive","total"
"1","age","(0,50]",0,3,3
"2","age","(50,70]",1,13,14
"3","age","(70,120]",0,7,7
"4","sex","female",1,13,14
"5","sex","male",0,10,10
"6","diplopia","negative",0,4,4
"7","diplopia","positive",1,19,20
"8","ptosis","negative",0,4,4
"9","ptosis","positive",1,19,20
"10","anti.achr","negative",1,7,8
"11","anti.achr","positive",0,16,16
"12","simpson.test","negative",0,1,1
"13","simpson.test","positive",1,10,11
"14","simpson.test",NA,0,12,12
"15","ice.test","positive",0,2,2
"16","ice.test",NA,1,21,22
"17","besinger.score",NA,1,23,24
"18","endrophonium",NA,1,23,24
"19","rns.an.fn.max",NA,1,23,24
"20","sfemg",NA,1,23,24
