"","variable","value","negative","positive","total"
"1","age","(0,50]",15,10,25
"2","age","(50,70]",17,13,30
"3","age","(70,120]",18,16,34
"4","sex","male",18,23,41
"5","sex","female",32,16,48
"6","diplopia","negative",14,15,29
"7","diplopia","positive",36,24,60
"8","ptosis","negative",19,10,29
"9","ptosis","positive",31,29,60
"10","anti.achr","negative",48,6,54
"11","anti.achr","positive",2,33,35
"12","simpson.test","negative",32,13,45
"13","simpson.test","positive",14,25,39
"14","simpson.test",NA,4,1,5
"15","ice.test","negative",21,8,29
"16","ice.test","positive",9,13,22
"17","ice.test",NA,20,18,38
"18","besinger.score","(-1,1]",5,5,10
"19","besinger.score","(1,4]",25,14,39
"20","besinger.score","(4,8]",18,16,34
"21","besinger.score","(8,24]",2,4,6
"22","endrophonium","negative",36,2,38
"23","endrophonium","positive",4,29,33
"24","endrophonium",NA,10,8,18
"25","rns.an.fn.max","negative",42,14,56
"26","rns.an.fn.max","positive",8,23,31
"27","rns.an.fn.max",NA,0,2,2
"28","sfemg","negative",28,9,37
"29","sfemg","positive",22,27,49
"30","sfemg",NA,0,3,3
